Date : 2025-06-19 12:57:00
Directory : /home/pes/kaban_project/kaban_system2/bot
Total : 5381 files,  -1727019 codes, -394065 comments, -186590 blanks, all -2307674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/color.py                                             | Python           |       -498 |        -57 |        -27 |       -582 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/color_triplet.py                                     | Python           |        -17 |        -15 |         -7 |        -39 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/columns.py                                           | Python           |       -150 |        -19 |        -19 |       -188 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/console.py                                           | Python           |     -1,389 |       -596 |       -227 |     -2,212 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/constrain.py                                         | Python           |        -24 |         -6 |         -8 |        -38 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/containers.py                                        | Python           |       -128 |        -13 |        -27 |       -168 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/control.py                                           | Python           |       -102 |        -47 |        -27 |       -176 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/default_styles.py                                    | Python           |       -173 |          0 |        -11 |       -184 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/diagnose.py                                          | Python           |         -5 |          0 |         -2 |         -7 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/emoji.py                                             | Python           |        -56 |        -18 |        -23 |        -97 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/errors.py                                            | Python           |         -9 |         -9 |        -17 |        -35 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/file_proxy.py                                        | Python           |        -43 |         -2 |        -10 |        -55 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/filesize.py                                          | Python           |        -43 |        -37 |        -10 |        -90 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/highlighter.py                                       | Python           |        -82 |        -37 |        -29 |       -148 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/json.py                                              | Python           |        -94 |        -32 |        -15 |       -141 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/jupyter.py                                           | Python           |        -65 |         -7 |        -21 |        -93 |
